faq_id,agent_type
FAQ-RET-001,policy_information_agent
FAQ-WAR-002,policy_information_agent
FAQ-INV-003,payment_shipping_agent
FAQ-SHP-004,payment_shipping_agent
FAQ-VESA-005,technical_support_agent
FAQ-DESK-006,technical_support_agent
FAQ-CS-007,human_escalation_agent
FAQ-PROMO-008,policy_information_agent
FAQ-PAY-009,payment_shipping_agent
FAQ-INT-010,payment_shipping_agent
FAQ-NTF-011,inventory_management_agent
FAQ-ASM-012,technical_support_agent
FAQ-MNT-013,technical_support_agent
FAQ-WGT-014,product_recommendation_agent
FAQ-GAS-015,technical_support_agent
FAQ-NOV-016,technical_support_agent
FAQ-SAF-017,technical_support_agent
FAQ-WALL-018,technical_support_agent
FAQ-RMA-019,policy_information_agent
FAQ-INV-020,payment_shipping_agent
FAQ-B2B-021,order_query_agent
FAQ-RET-022,policy_information_agent
FAQ-TRK-023,order_query_agent
FAQ-MEM-024,policy_information_agent
FAQ-CAR-025,technical_support_agent
FAQ-SPACE-026,technical_support_agent
FAQ-CBL-027,technical_support_agent
FAQ-GFT-028,policy_information_agent
FAQ-VSC-029,technical_support_agent
FAQ-SIT-030,product_recommendation_agent
FAQ-EDGE-031,technical_support_agent
FAQ-MIX-032,product_recommendation_agent
FAQ-KIT-033,technical_support_agent
FAQ-DOA-034,payment_shipping_agent
FAQ-CHG-035,order_query_agent
FAQ-CAN-036,order_query_agent
FAQ-PRE-037,inventory_management_agent
FAQ-REG-038,policy_information_agent
FAQ-NSE-039,technical_support_agent
FAQ-PAR-040,inventory_management_agent
FAQ-PRC-041,policy_information_agent
FAQ-PRV-042,policy_information_agent
